0:00:00 5.0007.510.011	1
0:00:00 5.0007.610.011	1
0:00:00 5.0007.510.011	1
0:00:01	5.0007.510.011	3
0:00:01	5.0007.510.011	6
0:00:01	5.0007.610.011	-1
0:00:02	5.0007.610.011	2
0:00:02	5.0007.510.011	1
0:00:03	5.0007.610.011	3
0:00:03	5.0007.510.011	2
0:00:03	5.0007.610.011	2
0:00:03	5.0007.510.011	2
0:00:03	5.0007.610.011	1
0:00:05	5.0007.510.011	5
0:00:05	5.0007.610.011	1
0:00:05	5.0007.610.011	6
0:00:05	5.0007.610.011	-3
0:00:06	5.0007.510.011	1
0:00:06	5.0007.610.011	1
0:00:06	5.0007.610.011	-2
0:00:07	5.0007.510.011	1
0:00:07	5.0007.610.011	1
0:00:07	5.0007.510.011	1
0:00:07	5.0007.610.011	1
0:00:08	5.0007.510.011	2
0:00:08	5.0007.510.011	7
0:00:08	5.0007.610.011	1
0:00:08	5.0007.510.011	2
0:00:08	5.0007.610.011	1
0:00:08	5.0007.610.011	-2
0:00:09	5.0007.510.011	1
0:00:09	5.0007.510.011	2
0:00:09	5.0007.610.011	1
0:00:09	5.0007.510.011	1
0:00:09	5.0007.510.011	2
0:00:09	5.0007.510.011	1
0:00:10	5.0007.610.011	4
0:00:10	5.0007.610.011	4
0:00:10	5.0007.610.011	1
0:00:10	5.0007.510.011	1
0:00:10	5.0007.610.011	1
0:00:10	5.0007.610.011	-2
0:00:11	5.0007.510.011	2
0:00:11	5.0007.510.011	2
0:00:11	5.0007.510.011	2
0:00:11	5.0007.510.011	3
0:00:12	5.0007.610.011	2
0:00:12	5.0007.510.011	1
0:00:12	5.0007.610.011	-2
0:00:13	5.0007.510.011	1
0:00:13	5.0007.510.011	2
0:00:13	5.0007.610.011	-1
0:00:14	5.0007.510.011	2
0:00:14	5.0007.510.011	1
0:00:14	5.0007.610.011	-2
0:00:15	5.0007.610.011	2
0:00:16	5.0007.510.011	1
0:00:16	5.0007.610.011	1
0:00:16	5.0007.610.011	3
0:00:16	5.0007.610.011	6
0:00:16	5.0007.610.011	-1
0:00:17	5.0007.610.011	6
0:00:17	5.0007.610.011	4
0:00:17	5.0007.510.011	6
0:00:17	5.0007.510.011	1
0:00:17	5.0007.510.011	1
0:00:17	5.0007.610.011	2
0:00:17	5.0007.610.011	-1
0:00:18	5.0007.610.011	1
0:00:18	5.0007.610.011	3
0:00:18	5.0007.510.011	3
0:00:18	5.0007.510.011	3
0:00:18	5.0007.510.011	2
0:00:19	5.0007.510.011	1
0:00:19	5.0007.610.011	2
0:00:19	5.0007.510.011	4
0:00:19	5.0007.610.011	-2
0:00:20	5.0007.610.011	3
0:00:20	5.0007.610.011	1
0:00:20	5.0007.610.011	1
0:00:20	5.0007.510.011	1
0:00:20	5.0007.610.011	1
0:00:20	5.0007.610.011	2
0:00:21	5.0007.610.011	1
0:00:21	5.0007.610.011	1
0:00:21	5.0007.510.011	3
0:00:21	5.0007.610.011	-3
0:00:21	5.0007.610.011	-2
0:00:22	5.0007.510.011	1
0:00:22	5.0007.510.011	1
0:00:22	5.0007.510.011	1
0:00:22	5.0007.610.011	2
0:00:22	5.0007.510.011	7
0:00:22	5.0007.610.011	1
0:00:22	5.0007.510.011	2
0:00:22	5.0007.610.011	-2
0:00:23	5.0007.510.011	1
0:00:23	5.0007.510.011	1
0:00:23	5.0007.510.011	2
0:00:23	5.0007.610.011	1
0:00:23	5.0007.610.011	1
0:00:24	5.0007.610.011	4
0:00:24	5.0007.610.011	6
0:00:24	5.0007.510.011	1
0:00:24	5.0007.610.011	-1
0:00:25	5.0007.510.011	1
0:00:25	5.0007.610.011	3
0:00:26	5.0007.610.011	3
0:00:26	5.0007.510.011	1
0:00:26	5.0007.610.011	2
0:00:27	5.0007.610.011	1
0:00:28	5.0007.510.011	1
0:00:28	5.0007.610.011	2
0:00:28	5.0007.610.011	-2
0:00:28	5.0007.610.011	-2
0:00:28	5.0007.610.011	-2
0:00:29	5.0007.510.011	1
0:00:29	5.0007.610.011	1
0:00:29	5.0007.610.011	1
0:00:29	5.0007.510.011	1
0:00:30	5.0007.510.011	1
0:00:30	5.0007.510.011	1
0:00:30	5.0007.610.011	-2
0:00:31	5.0007.510.011	3
0:00:31	5.0007.610.011	1
0:00:32	5.0007.510.011	2
0:00:32	5.0007.510.011	1
0:00:32	5.0007.510.011	1
0:00:33	5.0007.510.011	2
0:00:33	5.0007.610.011	3
0:00:33	5.0007.610.011	1
0:00:34	5.0007.610.011	2
0:00:34	5.0007.510.011	2
0:00:34	5.0007.610.011	1
0:00:34	5.0007.610.011	1
0:00:35	5.0007.610.011	3
0:00:35	5.0007.610.011	2
0:00:35	5.0007.610.011	2
0:00:35	5.0007.510.011	2
0:00:35	5.0007.610.011	4
0:00:36	5.0007.610.011	1
0:00:36	5.0007.610.011	3
0:00:36	5.0007.610.011	-3
0:00:37	5.0007.610.011	2
0:00:37	5.0007.510.011	1
0:00:37	5.0007.510.011	1
0:00:37	5.0007.510.011	2
0:00:37	5.0007.610.011	-1
0:00:38	5.0007.510.011	1
0:00:38	5.0007.610.011	-2
0:00:39	5.0007.510.011	5
0:00:39	5.0007.510.011	2
0:00:39	5.0007.610.011	1
0:00:39	5.0007.510.011	1
0:00:39	5.0007.610.011	2
0:00:39	5.0007.610.011	-2
0:00:40	5.0007.510.011	1
0:00:40	5.0007.610.011	2
0:00:40	5.0007.510.011	3
0:00:40	5.0007.610.011	4
0:00:40	5.0007.610.011	-2
0:00:40	5.0007.610.011	-2
0:00:41	5.0007.610.011	2
0:00:41	5.0007.610.011	1
0:00:42	5.0007.510.011	1
0:00:42	5.0007.610.011	1
0:00:42	5.0007.610.011	-2
0:00:43	5.0007.610.011	1
0:00:43	5.0007.510.011	1
0:00:43	5.0007.510.011	2
0:00:43	5.0007.510.011	1
0:00:44	5.0007.510.011	1
0:00:44	5.0007.610.011	4
0:00:44	5.0007.510.011	1
0:00:44	5.0007.510.011	1
0:00:44	5.0007.510.011	4
0:00:45	5.0007.510.011	3
0:00:45	5.0007.610.011	1
0:00:45	5.0007.610.011	-1
0:00:46	5.0007.510.011	1
0:00:46	5.0007.510.011	1
0:00:46	5.0007.510.011	1
0:00:46	5.0007.510.011	1
0:00:46	5.0007.510.011	1
0:00:46	5.0007.510.011	2
0:00:46	5.0007.510.011	2
0:00:46	5.0007.510.011	1
0:00:46	5.0007.610.011	-2
0:00:47	5.0007.610.011	1
0:00:47	5.0007.610.011	2
0:00:47	5.0007.510.011	1
0:00:47	5.0007.610.011	-1
0:00:48	5.0007.610.011	1
0:00:48	5.0007.510.011	1
0:00:48	5.0007.610.011	5
0:00:48	5.0007.610.011	-2
0:00:48	5.0007.610.011	-2
0:00:49	5.0007.510.011	1
0:00:49	5.0007.610.011	2
0:00:49	5.0007.610.011	1
0:00:49	5.0007.610.011	1
0:00:50	5.0007.510.011	1
0:00:50	5.0007.510.011	4
0:00:50	5.0007.610.011	1
0:00:50	5.0007.510.011	6
0:00:50	5.0007.510.011	2
0:00:50	5.0007.510.011	2
0:00:50	5.0007.510.011	2
0:00:50	5.0007.610.011	-2
0:00:51	5.0007.610.011	1
0:00:51	5.0007.610.011	-1
0:00:52	5.0007.610.011	1
0:00:52	5.0007.510.011	2
0:00:53	5.0007.510.011	1
0:00:53	5.0007.510.011	1
0:00:53	5.0007.510.011	1
0:00:53	5.0007.510.011	1
0:00:53	5.0007.610.011	-2
0:00:53	5.0007.610.011	-2
0:00:55	5.0007.510.011	1
0:00:55	5.0007.610.011	1
0:00:55	5.0007.610.011	1
0:00:55	5.0007.510.011	2
0:00:55	5.0007.610.011	1
0:00:56	5.0007.610.011	1
0:00:56	5.0007.510.011	1
0:00:56	5.0007.610.011	2
0:00:56	5.0007.610.011	1
0:00:56	5.0007.510.011	1
0:00:57	5.0007.510.011	2
0:00:57	5.0007.510.011	1
0:00:57	5.0007.610.011	-2
0:00:58	5.0007.610.011	1
0:00:58	5.0007.510.011	1
0:00:58	5.0007.610.011	-2
0:00:59	5.0007.610.011	1
0:00:59	5.0007.510.011	1
0:00:59	5.0007.610.011	4
0:00:59	5.0007.610.011	1
0:01:00	5.0007.510.011	1
0:01:00	5.0007.610.011	1
0:01:00	5.0007.510.011	1
0:01:00	5.0007.510.011	2
0:01:00	5.0007.610.011	1
0:01:01	5.0007.610.011	1
0:01:01	5.0007.610.011	1
0:01:01	5.0007.510.011	4
0:01:01	5.0007.610.011	5
0:01:02	5.0007.510.011	1
0:01:02	5.0007.610.011	1
0:01:02	5.0007.610.011	6
0:01:02	5.0007.610.011	1
0:01:02	5.0007.610.011	1
0:01:02	5.0007.610.011	4
0:01:02	5.0007.610.011	-1
0:01:03	5.0007.510.011	1
0:01:04	5.0007.510.011	1
0:01:04	5.0007.610.011	-2
0:01:05	5.0007.510.011	2
0:01:05	5.0007.610.011	1
0:01:06	5.0007.610.011	1
0:01:06	5.0007.610.011	3
0:01:06	5.0007.510.011	4
0:01:07	5.0007.610.011	2
0:01:07	5.0007.610.011	2
0:01:07	5.0007.510.011	3
0:01:07	5.0007.610.011	4
0:01:08	5.0007.510.011	1
0:01:08	5.0007.610.011	2
0:01:08	5.0007.610.011	3
0:01:08	5.0007.610.011	1
0:01:08	5.0007.610.011	-2
0:01:09	5.0007.610.011	1
0:01:09	5.0007.610.011	2
0:01:09	5.0007.610.011	4
0:01:09	5.0007.510.011	2
0:01:09	5.0007.610.011	2
0:01:10	5.0007.510.011	1
0:01:11	5.0007.510.011	1
0:01:11	5.0007.610.011	1
0:01:11	5.0007.610.011	-3
0:01:12	5.0007.610.011	1
0:01:12	5.0007.610.011	1
0:01:13	5.0007.610.011	2
0:01:14	5.0007.510.011	2
0:01:14	5.0007.510.011	8
0:01:14	5.0007.510.011	2
0:01:14	5.0007.610.011	1
0:01:14	5.0007.610.011	-3
0:01:15	5.0007.510.011	3
0:01:15	5.0007.610.011	2
0:01:15	5.0007.610.011	1
0:01:15	5.0007.510.011	1
0:01:15	5.0007.610.011	3
0:01:15	5.0007.610.011	1
0:01:16	5.0007.610.011	7
0:01:16	5.0007.510.011	1
0:01:16	5.0007.510.011	1
0:01:16	5.0007.510.011	1
0:01:16	5.0007.610.011	1
0:01:16	5.0007.610.011	2
0:01:16	5.0007.610.011	-2
0:01:18	5.0007.610.011	1
0:01:18	5.0007.610.011	1
0:01:18	5.0007.610.011	1
0:01:18	5.0007.610.011	5
0:01:18	5.0007.510.011	1
0:01:18	5.0007.610.011	1
0:01:19	5.0007.610.011	4
0:01:19	5.0007.610.011	1
0:01:20	5.0007.610.011	1
0:01:20	5.0007.510.011	1
0:01:20	5.0007.610.011	1
0:01:20	5.0007.610.011	-2
